iter	Passed	Remaining
355	656	1187
356	657	1184
357	658	1181
358	659	1177
359	660	1174
360	661	1171
361	662	1168
362	664	1165
363	665	1162
364	666	1158
365	667	1155
366	668	1152
367	669	1149
368	671	1147
369	672	1144
370	673	1141
371	674	1138
372	675	1135
373	676	1132
374	677	1129
375	678	1126
376	679	1123
377	681	1121
378	683	1119
379	684	1117
380	686	1115
381	687	1112
382	688	1109
383	690	1108
384	692	1105
385	693	1102
386	694	1099
387	695	1096
388	696	1093
389	697	1090
390	698	1087
391	699	1084
392	700	1081
393	701	1078
394	702	1075
395	703	1072
396	704	1069
397	706	1067
398	707	1065
399	708	1062
400	709	1059
401	710	1056
402	711	1054
403	712	1051
404	714	1050
405	717	1049
406	718	1047
407	720	1045
408	722	1043
409	723	1041
410	725	1039
411	726	1036
412	728	1035
413	732	1036
414	735	1037
415	738	1036
416	741	1036
417	743	1035
418	747	1036
419	749	1035
420	750	1032
421	752	1030
422	753	1028
423	755	1026
424	757	1025
425	759	1023
426	760	1020
427	762	1018
428	763	1016
429	764	1013
430	766	1011
431	767	1009
432	769	1008
433	772	1006
434	774	1005
435	775	1003
436	776	1000
437	778	999
438	779	996
439	781	994
440	782	991
441	783	989
442	785	987
443	787	985
444	789	984
445	791	982
446	793	981
447	794	979
448	795	976
449	797	974
450	798	971
451	800	970
452	802	969
453	804	967
454	805	965
455	806	962
456	808	960
457	809	958
